Date,Open,High,Low,Close,Adj Close,Volume
2020-07-23,1.450000,1.450000,1.430000,1.440000,1.390991,206575
2020-07-24,1.440000,1.450000,1.430000,1.440000,1.390991,157606
2020-07-27,1.440000,1.460000,1.430000,1.460000,1.410310,129962
2020-07-28,1.450000,1.480000,1.450000,1.450000,1.400651,143790
2020-07-29,1.460000,1.470000,1.450000,1.450000,1.400651,113891
2020-07-30,1.450000,1.460000,1.450000,1.450000,1.400651,174233
2020-07-31,1.450000,1.460000,1.450000,1.460000,1.410310,40842
2020-08-03,1.460000,1.470000,1.450000,1.450000,1.400651,315029
2020-08-04,1.460000,1.470000,1.460000,1.470000,1.419970,167778
2020-08-05,1.460000,1.480000,1.460000,1.470000,1.419970,236491
2020-08-06,1.470000,1.510000,1.470000,1.500000,1.448949,708899
2020-08-07,1.510000,1.510000,1.490000,1.490000,1.439289,100143
2020-08-10,1.490000,1.530000,1.480000,1.530000,1.477928,1239255
2020-08-11,1.530000,1.550000,1.520000,1.540000,1.487588,702954
2020-08-12,1.550000,1.550000,1.500000,1.530000,1.477928,91343
2020-08-13,1.590000,1.630000,1.570000,1.570000,1.516567,492850
2020-08-14,1.570000,1.580000,1.540000,1.540000,1.487588,266052
2020-08-17,1.550000,1.600000,1.550000,1.600000,1.545545,824116
2020-08-18,1.580000,1.650000,1.580000,1.620000,1.564865,328254
2020-08-19,1.630000,1.630000,1.610000,1.630000,1.574524,1152029
2020-08-20,1.630000,1.660000,1.630000,1.650000,1.593844,727089
2020-08-21,1.650000,1.660000,1.650000,1.650000,1.593844,1099656
2020-08-24,1.660000,1.670000,1.650000,1.660000,1.603503,216491
2020-08-25,1.650000,1.680000,1.630000,1.680000,1.622823,196188
2020-08-26,1.680000,1.690000,1.670000,1.680000,1.622823,129528
2020-08-27,1.680000,1.690000,1.680000,1.690000,1.632483,74437
2020-08-28,1.670000,1.680000,1.630000,1.640000,1.584184,491309
2020-08-31,1.620000,1.640000,1.590000,1.620000,1.564865,989559
2020-09-01,1.620000,1.630000,1.590000,1.620000,1.564865,499191
